"DATE","TSI"
"2000-01-01","101.9000015258789"
"2000-02-01","101.30000305175781"
"2000-03-01","99.69999694824219"
"2000-04-01","98.5"
"2000-05-01","100"
"2000-06-01","100"
"2000-07-01","98.4000015258789"
"2000-08-01","99.5999984741211"
"2000-09-01","100.9000015258789"
"2000-10-01","100.30000305175781"
"2000-11-01","100.69999694824219"
"2000-12-01","98.80000305175781"
"2001-01-01","100"
"2001-02-01","99.9000015258789"
"2001-03-01","100.19999694824219"
"2001-04-01","99.19999694824219"
"2001-05-01","100.30000305175781"
"2001-06-01","99.5999984741211"
"2001-07-01","98.9000015258789"
"2001-08-01","100.19999694824219"
"2001-09-01","93.80000305175781"
"2001-10-01","95.0999984741211"
"2001-11-01","95.5"
"2001-12-01","95.80000305175781"
"2002-01-01","96.80000305175781"
"2002-02-01","98.30000305175781"
"2002-03-01","97.30000305175781"
"2002-04-01","98.30000305175781"
"2002-05-01","99.0999984741211"
"2002-06-01","99.4000015258789"
"2002-07-01","100.19999694824219"
"2002-08-01","100.19999694824219"
"2002-09-01","100.5"
"2002-10-01","101.5"
"2002-11-01","102.0999984741211"
"2002-12-01","102.19999694824219"
"2003-01-01","101.69999694824219"
"2003-02-01","101.0999984741211"
"2003-03-01","101"
"2003-04-01","100.19999694824219"
"2003-05-01","99.9000015258789"
"2003-06-01","100.0999984741211"
"2003-07-01","101.69999694824219"
"2003-08-01","101.5"
"2003-09-01","102.5999984741211"
"2003-10-01","103.80000305175781"
"2003-11-01","104"
"2003-12-01","106.19999694824219"
"2004-01-01","105.4000015258789"
"2004-02-01","106.0999984741211"
"2004-03-01","108.30000305175781"
"2004-04-01","108.5"
"2004-05-01","108.4000015258789"
"2004-06-01","109.19999694824219"
"2004-07-01","109.19999694824219"
"2004-08-01","108.5999984741211"
"2004-09-01","108.9000015258789"
"2004-10-01","109.80000305175781"
"2004-11-01","110.4000015258789"
"2004-12-01","110.5"
"2005-01-01","112.4000015258789"
"2005-02-01","111.80000305175781"
"2005-03-01","111.5"
"2005-04-01","112.0999984741211"
"2005-05-01","111.80000305175781"
"2005-06-01","111.30000305175781"
"2005-07-01","111.4000015258789"
"2005-08-01","111.69999694824219"
"2005-09-01","111.30000305175781"
"2005-10-01","110.5999984741211"
"2005-11-01","112.80000305175781"
"2005-12-01","111.5"
"2006-01-01","112.19999694824219"
"2006-02-01","111.5"
"2006-03-01","111.80000305175781"
"2006-04-01","111.5"
"2006-05-01","113.19999694824219"
"2006-06-01","112.80000305175781"
"2006-07-01","111.9000015258789"
"2006-08-01","109.9000015258789"
"2006-09-01","112.69999694824219"
"2006-10-01","111.19999694824219"
"2006-11-01","110"
"2006-12-01","111.5999984741211"
"2007-01-01","111.30000305175781"
"2007-02-01","111.5999984741211"
"2007-03-01","112.9000015258789"
"2007-04-01","111.80000305175781"
"2007-05-01","112.0999984741211"
"2007-06-01","111.69999694824219"
"2007-07-01","110.9000015258789"
"2007-08-01","111.5999984741211"
"2007-09-01","111.69999694824219"
"2007-10-01","113"
"2007-11-01","112.69999694824219"
"2007-12-01","112.5999984741211"
"2008-01-01","114.5999984741211"
"2008-02-01","112.80000305175781"
"2008-03-01","112"
"2008-04-01","113.5999984741211"
"2008-05-01","113.4000015258789"
"2008-06-01","112.0999984741211"
"2008-07-01","113"
"2008-08-01","111.0999984741211"
"2008-09-01","109.19999694824219"
"2008-10-01","109.19999694824219"
"2008-11-01","106.5999984741211"
"2008-12-01","103.80000305175781"
"2009-01-01","102"
"2009-02-01","104.30000305175781"
"2009-03-01","99.80000305175781"
"2009-04-01","99.69999694824219"
"2009-05-01","98.9000015258789"
"2009-06-01","100.30000305175781"
"2009-07-01","102.0999984741211"
"2009-08-01","102.80000305175781"
"2009-09-01","103"
"2009-10-01","102.19999694824219"
"2009-11-01","103.5"
"2009-12-01","104.5999984741211"
"2010-01-01","105.5999984741211"
"2010-02-01","106.5999984741211"
"2010-03-01","107.5"
"2010-04-01","107.5999984741211"
"2010-05-01","108.19999694824219"
"2010-06-01","108.5"
"2010-07-01","108.80000305175781"
"2010-08-01","108.9000015258789"
"2010-09-01","109.5"
"2010-10-01","110.19999694824219"
"2010-11-01","109.80000305175781"
"2010-12-01","110.30000305175781"
"2011-01-01","111.5"
"2011-02-01","110.9000015258789"
"2011-03-01","112.0999984741211"
"2011-04-01","111.5999984741211"
"2011-05-01","110.80000305175781"
"2011-06-01","111.9000015258789"
"2011-07-01","112"
"2011-08-01","111.5999984741211"
"2011-09-01","112.5999984741211"
"2011-10-01","113"
"2011-11-01","113.30000305175781"
"2011-12-01","115.4000015258789"
"2012-01-01","112.9000015258789"
"2012-02-01","113.5999984741211"
"2012-03-01","113.30000305175781"
"2012-04-01","113.30000305175781"
"2012-05-01","113.80000305175781"
"2012-06-01","114.30000305175781"
"2012-07-01","114.0999984741211"
"2012-08-01","113.80000305175781"
"2012-09-01","113.4000015258789"
"2012-10-01","111.69999694824219"
"2012-11-01","113.30000305175781"
"2012-12-01","113.69999694824219"
"2013-01-01","115.5"
"2013-02-01","116.69999694824219"
"2013-03-01","115.9000015258789"
"2013-04-01","115.80000305175781"
"2013-05-01","116.30000305175781"
"2013-06-01","117"
"2013-07-01","116.5"
"2013-08-01","117"
"2013-09-01","117"
"2013-10-01","117"
"2013-11-01","119.0999984741211"
"2013-12-01","117.69999694824219"
"2014-01-01","116.80000305175781"
"2014-02-01","118.4000015258789"
"2014-03-01","120.0999984741211"
"2014-04-01","120.4000015258789"
"2014-05-01","120.9000015258789"
"2014-06-01","119.69999694824219"
"2014-07-01","120.30000305175781"
"2014-08-01","120.5999984741211"
